3577,4065,4358,4311,4434,4507,4514,4515,4559,4643,4666,4672,4687,4692,4616,4679
4071,4347,4464,4444,4626,4674,4668,4683,4500,4500,4508,4521,4513,4520,4501,4389
4332,4500,4656,4683,4688,4511,4513,4455,4439,4443,4457,4492,4508,4441,4510,4511
4365,4519,4688,4654,4444,4521,4584,4517,4497,4496,4489,4511,4510,4513,4513,4348
4488,4651,4664,4523,4584,4472,4505,4486,4346,4406,4371,4346,4310,4351,4353,4318
4455,4623,4489,4572,4596,4486,4510,4513,4358,4314,4355,4355,4350,4332,4357,4352
4502,4593,4489,4531,4447,4466,4459,4504,4301,4353,4336,4306,4333,4342,4295,4204
4533,4684,4665,4576,4506,4505,4514,4498,4323,4327,4341,4251,4193,4202,4186,4142
4645,4511,4646,4502,4512,4508,4500,4452,4187,4165,4198,4195,4196,4196,4200,4059
4654,4575,4665,4514,4510,4513,4514,4476,4171,4198,4177,4187,4192,4175,4052,4067
