42046,42930,42402,42925,43924,42231,42519,43179,42881,42722,41292,41127,41902,39381,40590,41025
41378,41129,42504,42499,41873,43233,42617,43361,41107,42987,40714,41390,42758,43904,41742,41625
42695,42945,42572,43277,42352,43166,42798,41248,41851,41485,41554,41267,41948,39798,38808,34268
41878,41741,41856,41485,41319,42433,43692,42078,40875,40803,34598,33851,33963,34023,33855,34243
42587,43072,41553,42184,41220,41582,41200,40674,34106,34145,34178,34235,34039,34014,33829,31394
41872,42370,42354,42554,44127,42756,42353,42129,34146,34029,34121,34146,33938,29240,26567,26133
41441,41469,41901,43071,43013,42243,42959,34981,34197,34244,33942,27562,26380,26170,26083,24311
42710,41920,41802,42789,42360,42379,40773,34496,33490,28180,26799,26617,26771,26505,26715,21869
42763,42267,41768,42256,40898,34858,34106,31467,27059,26868,26328,25880,25979,22553,21681,21549
41739,43784,42179,42178,42098,34128,33677,34003,26070,25539,25627,25087,21386,21522,21475,18432
