44912,43851,43829,43896,43574,43559,44427,43451,43547,43484,44245,43343,43000,43224,43297,42002
42083,42780,43093,42281,42672,43000,42569,42465,42819,42143,40460,42986,43016,42992,43145,42456
43356,42937,41969,42907,42401,41843,41614,41927,42924,42462,42341,43052,43145,41676,38931,34716
41874,42348,42114,42934,43410,44443,44203,43351,42524,40489,34804,34928,34696,34837,34861,34871
44799,44620,43733,43936,43694,43912,43995,43746,35053,35024,35125,34977,34549,34890,34665,30753
44515,43757,44352,43491,43319,44503,45059,42828,35161,35367,35032,35290,35104,31619,27325,27152
44645,43785,39762,44356,44730,44610,44819,34897,34889,35123,34859,27501,27110,26877,25075,26693
43000,41390,42730,42201,42677,38072,39849,31611,33326,29070,26888,26896,26172,26671,26899,22087
42270,41761,41962,41510,42984,35004,34870,34703,26963,26948,26890,26888,26798,22600,22214,22218
43988,44068,44209,43867,43679,34972,34951,34899,27261,27092,27225,25652,22189,22245,22191,18818
